,code,name,industry,main_product
304,413300,티엘엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업",클린룸 설계 및 시공
305,394280,오픈엣지테크놀로지,소프트웨어 개발 및 공급업,시스템 반도체 IP
306,433530,키움제7호스팩,금융 지원 서비스업,기업 인수합병
307,430220,신영스팩8호,금융 지원 서비스업,기업인수
308,129920,대성하이텍,특수 목적용 기계 제조업,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터"
309,403550,쏘카,운송장비 임대업,"카셰어링, 모빌리티 플랫폼 등"
310,148930,에이치와이티씨,기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품
311,107600,새빗켐,기타 화학제품 제조업,"폐전지재활용소재, 폐산재활용"
312,430700,유안타제9호스팩,금융 지원 서비스업,기업인수목적회사
313,126720,수산인더스트리,건물설비 설치 공사업,전력발전설비 정비 용역
314,418210,신한제10호스팩,금융 지원 서비스업,금융서비스(기업인수목적 회사)
315,368600,아이씨에이치,전자부품 제조업,스마트기기용 필름형 안테나
316,365340,성일하이텍,기초 화학물질 제조업,"코발트, 니켈, 리튬 등"
317,397030,에이프릴바이오,자연과학 및 공학 연구개발업,항체의약품 및 재조합 단백질 의약품
318,341170,퓨쳐메디신,자연과학 및 공학 연구개발업,뉴클레오사이드 유도체 기반 합성의약품
319,424760,벨로크,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","보안솔루션,보안서비스"
320,328130,루닛,소프트웨어 개발 및 공급업,Lunit INSIGHT
321,354390,바스칸바이오제약,의약품 제조업,"일반의약품, 전문의약품, 의료기기"
322,403870,HPSP,특수 목적용 기계 제조업,고압 수소 어닐링 장비
323,112290,와이씨켐,기타 화학제품 제조업,반도체 및 디스플레이용 화학소재
324,402030,코난테크놀로지,소프트웨어 개발 및 공급업,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스"
325,396270,넥스트칩,반도체 제조업,"차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)"
326,425290,삼성스팩6호,금융 지원 서비스업,기업인수합병
327,422040,엔에이치스팩23호,금융 지원 서비스업,금융 지원 서비스
328,421800,교보12호스팩,금융 지원 서비스업,기업인수 및 합병
329,412350,레이저쎌,특수 목적용 기계 제조업,"에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등"
330,310210,보로노이,기초 의약물질 제조업,표적치료제
331,377460,위니아에이드,상품 종합 도매업,"전자제품 소매, 물류주선, 서비스대행"
332,424140,케이비제21호스팩,금융 지원 서비스업,기업인수목적회사
333,148780,비큐AI,소프트웨어 개발 및 공급업,"아이서퍼, 위고몬 등"
334,382900,범한퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축"
335,176590,코나솔,특수 목적용 기계 제조업,"합금강, 기계부품 제조"
336,362320,청담글로벌,생활용품 도매업,글로벌 화장품 유통
337,357430,마스턴프리미어리츠,부동산 임대 및 공급업,"프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터"
338,418170,하나금융22호스팩,금융 지원 서비스업,기업인수합병
339,399720,가온칩스,반도체 제조업,설계 솔루션 및 주문형 반도체
340,389260,대명에너지,건물 건설업,신재생에너지 발전 공사 및 용역
341,415580,상상인제3호스팩,금융 지원 서비스업,기업인수 및 합병
342,389140,포바이포,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고영화 및 비디오물 제작업
343,412930,미래에셋비전스팩1호,금융 지원 서비스업,기업인수합병
344,413600,키움제6호스팩,금융 지원 서비스업,기업 인수합병
345,388050,지투파워,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수·배전반, 태양광발전시스템, 인버터(PCS)"
346,413630,씨피시스템,플라스틱제품 제조업,전기재료연결부품
347,417310,코람코더원리츠,부동산 임대 및 공급업,서울 영등포구 여의도 소재 하나금융투자 빌딩
348,396300,세아메카닉스,기타 금속 가공제품 제조업,"TV스탠드, 전기 수소차 부품 등"
349,366030,공구우먼,의복 액세서리 제조업,플러스사이즈 여성용 의류 및 잡화
350,388720,유일로보틱스,특수 목적용 기계 제조업,"취출로봇, 사출장비 및 자동화시스템"
351,288980,모아데이타,소프트웨어 개발 및 공급업,인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션
352,408920,메쎄이상,기타 사업지원 서비스업,"전시주최, 컨벤션 및 행사 대행업"
353,376930,노을,의료용 기기 제조업,융복합 체외진단 플랫폼
354,146320,비씨엔씨,반도체 제조업,반도체용 합성쿼츠 포커스링
355,371950,풍원정밀,전자부품 제조업,OLED 증착용 Metal Mask
356,330730,스톤브릿지벤처스,기타 금융업,"창업투자, 사모투자"
357,406760,하나금융21호스팩,금융 지원 서비스업,기업인수합병
358,365900,브이씨,운동 및 경기용구 제조업,골프용 거리측정기
359,370090,퓨런티어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원"
360,251120,바이오에프디엔씨,기초 의약물질 제조업,식물세포 유래 유효물질 및 약리물질
361,211050,인카금융서비스,보험 및 연금관련 서비스업,보험 판매
362,137080,나래나노텍,특수 목적용 기계 제조업,"디스플레이 장비 (포토, 코팅, 모듈 장비)"
363,136410,아셈스,플라스틱제품 제조업,핫멜트 접착 필름
364,276040,스코넥,소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등"
365,377330,이지트로닉스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치
366,373220,LG에너지솔루션,일차전지 및 이차전지 제조업,"2차전지 (소형,ESS,자동차전지)"
367,179530,애드바이오텍,의약품 제조업,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역"
368,102370,케이옥션,상품 중개업,미술품 경매 및 판매
369,169670,코스텍시스템,특수 목적용 기계 제조업,"반도체 웨이퍼 이송장비, 본딩장비"
370,353590,오토앤,자동차 부품 및 내장품 판매업,자동차 지급품 및 애프터마켓 제품
371,200350,래몽래인,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 제작
372,403360,라피치,소프트웨어 개발 및 공급업,Conversational AI Service 제품 및 생체인증(음성) Service 제품
373,254160,제이엠멀티,제재 및 목재 가공업,목재 데크로드 시스템
374,404990,신한서부티엔디리츠,부동산 임대 및 공급업,부동산투자
375,199800,툴젠,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품
376,396690,미래에셋글로벌리츠,부동산 임대 및 공급업,부동산 임대업
377,402420,켈스,의료용 기기 제조업,체외진단 의료기기
378,402340,SK스퀘어,기타 금융업,지주회사
379,377480,마음AI,소프트웨어 개발 및 공급업,종합 인공지능 엔진 및 플랫폼
380,361570,알비더블유,오디오물 출판 및 원판 녹음업,음반 및 음원 등(콘텐츠)
381,400760,NH올원리츠,부동산 임대 및 공급업,부동산투자
382,222160,NPX,특수 목적용 기계 제조업,인쇄회로기판(PCB) 전기검사기
383,290090,트윔,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비
384,372800,아이티아이즈,소프트웨어 개발 및 공급업,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)"
385,311320,지오엘리먼트,전자부품 제조업,"센서, 캐니스터"
386,376300,디어유,소프트웨어 개발 및 공급업,"모바일 어플리케이션(DearU bubble, Lysn)"
387,357880,비트나인,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스"
388,389030,지니너스,자연과학 및 공학 연구개발업,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등"
389,377300,카카오페이,금융 지원 서비스업,"간편결제, 간편송금 및 기타 금융서비스"
390,376180,피코그램,그외 기타 제품 제조업,"정수기, 정수기 필터"
391,348370,엔켐,기초 화학물질 제조업,2차전지 전해액
392,377450,리파인,기타 정보 서비스업,권리조사
393,382800,지앤비에스 에코,특수 목적용 기계 제조업,"스크러버, 트랩, 백연제거장치 등"
394,114840,아이패밀리에스씨,기타 화학제품 제조업,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`"
395,261780,차백신연구소,자연과학 및 공학 연구개발업,백신 및 면역증강제 등
396,382480,지아이텍,특수 목적용 기계 제조업,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타"
397,391710,코닉오토메이션,특수 목적용 기계 제조업,금융 지원 서비스(SPAC)
398,381970,케이카,자동차 판매업,오프라인 및 온라인 중고차 매매업
399,376290,씨유테크,전자부품 제조업,"휴대폰, 전장 등 실장부품"
400,159010,아스플로,일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등"
401,382840,원준,특수 목적용 기계 제조업,2차전지용 열처리 장비
402,257720,실리콘투,상품 종합 도매업,화장품 유통
403,260970,에스앤디,기타 식품 제조업,"일반기능식품소재, 건강기능식품소재"
404,377220,프롬바이오,기타 식품 제조업,개별인정형 건강기능식품
405,099430,바이오플러스,기초 의약물질 제조업,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품"
406,329180,HD현대중공업,선박 및 보트 건조업,"선박, 해양플랜트 및 엔진기계 등"
407,395400,SK리츠,부동산 임대 및 공급업,서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영
408,273640,와이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",계전기(EV Relay)
409,203400,에이비온,자연과학 및 공학 연구개발업,"표적 항암제, 바이오 베터 신약"
410,388790,라이콤,통신 및 방송 장비 제조업,"제조업(광증폭기, 광송수신기, 광섬유레이저 외)"
411,271940,일진하이솔루스,그외 기타 운송장비 제조업,"수소승용용기, 매연저감장치 등"
412,377190,디앤디플랫폼리츠,부동산 임대 및 공급업,부동산 투자 및 관리
413,308080,바이젠셀,자연과학 및 공학 연구개발업,"면역세포치료제 (면역항암제, 면역조절치료제 등)"
414,139990,아주스틸,1차 철강 제조업,"프리미엄 가전용 고품질 컬러강판, 건자재 등"
415,089860,롯데렌탈,운송장비 임대업,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)"
416,099390,브레인즈컴퍼니,소프트웨어 개발 및 공급업,IT 인프라 통합관리 솔루션
417,315640,딥노이드,소프트웨어 개발 및 공급업,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템"
418,372910,한컴라이프케어,의료용 기기 제조업,"공기호흡기, 방독면, 보호복 등"
419,058970,엠로,소프트웨어 개발 및 공급업,"기업용 공급망관리 소프트웨어, AI 디지털혁신 소프트웨어, 공급망관리 클라우드 서비스"
420,367000,플래티어,소프트웨어 개발 및 공급업,E-Commerce Platform 구축
421,376980,원티드랩,소프트웨어 개발 및 공급업,채용 플랫폼
422,259960,크래프톤,소프트웨어 개발 및 공급업,등 게임 소프트웨어
423,195940,HK이노엔,의약품 제조업,"전문의약품, 숙취해소음료"
424,178920,PI첨단소재,플라스틱제품 제조업,PI(Polyimide)제품
425,323410,카카오뱅크,은행 및 저축기관,은행 및 금융서비스
426,270660,에브리봇,가정용 기기 제조업,"물걸레 로봇청소기, 흡입형 로봇청소기"
427,377030,맥스트,소프트웨어 개발 및 공급업,AR 개발 플랫폼/AR솔루션
428,365270,큐라클,자연과학 및 공학 연구개발업,혈관질환치료제 등
429,137310,에스디바이오센서,의료용 기기 제조업,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트)
430,352910,오비고,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼
431,097520,엠씨넥스,영상 및 음향기기 제조업,"모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라"
432,357580,아모센스,전자부품 제조업,무선충전 차폐시트
433,318660,타임기술,소프트웨어 개발 및 공급업,"ILS(종합군수지원), IETM(전자식기술교범), CBT(전자식교보재), 기술번역"
434,303530,이노뎁,소프트웨어 개발 및 공급업,영상인식 및 데이터플랫폼 솔루션
435,232680,라온테크,특수 목적용 기계 제조업,반도체 및 FPD용 로봇시스템
436,376190,LB루셈,반도체 제조업,디스플레이 구동 반도체(Driver IC)
437,379390,이성씨엔아이,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 계측제어 서비스(경상정비)
438,187660,에이디엠코리아,자연과학 및 공학 연구개발업,임상 CRO 서비스
439,383310,에코프로에이치엔,기타 화학제품 제조업,환경오염 방지 관련 소재 및 설비
440,383800,LX홀딩스,기타 금융업,지주회사
441,276730,제주맥주,알코올음료 제조업,맥주
442,363250,진시스템,의료용 기기 제조업,분자진단기반 플랫폼 개발 및 제조·판매
